,Unnamed: 0,Unnamed: 0.1,GenderSelect,Country,Age,EmploymentStatus,CodeWriter,CareerSwitcher,CurrentJobTitleSelect,TitleFit,CurrentEmployerType,MLToolNextYearSelect,MLMethodNextYearSelect,LanguageRecommendationSelect,PublicDatasetsSelect,LearningPlatformSelect,LearningPlatformUsefulnessCourses,BlogsPodcastsNewslettersSelect,LearningDataScienceTime,JobSkillImportanceBigData,JobSkillImportanceDegree,JobSkillImportanceStats,JobSkillImportanceEnterpriseTools,JobSkillImportancePython,JobSkillImportanceR,JobSkillImportanceSQL,JobSkillImportanceKaggleRanking,JobSkillImportanceMOOC,JobSkillImportanceVisualizations,HardwarePersonalProjectsSelect,TimeSpentStudying,ProveKnowledgeSelect,DataScienceIdentitySelect,FormalEducation,MajorSelect,Tenure,PastJobTitlesSelect,FirstTrainingSelect,LearningCategorySelftTaught,LearningCategoryOnlineCourses,LearningCategoryWork,LearningCategoryUniversity,LearningCategoryKaggle,LearningCategoryOther,MLSkillsSelect,MLTechniquesSelect,ParentsEducation,EmployerIndustry,JobSearchResource,JobHuntTime,JobFactorLearning,JobFactorSalary,JobFactorOffice,JobFactorLanguages,JobFactorCommute,JobFactorManagement,JobFactorExperienceLevel,JobFactorDepartment,JobFactorTitle,JobFactorCompanyFunding,JobFactorImpact,JobFactorRemote,JobFactorIndustry,JobFactorLeaderReputation,JobFactorDiversity,JobFactorPublishingOpportunity
98,98,98,Male,United States,31.0,Employed full-time,No,Yes,Business Analyst,Fine,Employed by professional services/consulting firm,Python,Bayesian Methods,Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Blogs,Kaggle,Newsletters,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,"Becoming a Data Scientist Podcast,Data Stories Podcast,The Data Skeptic Podcast",1-2 years,,Necessary,Necessary,Nice to have,Necessary,Necessary,Necessary,Nice to have,Unnecessary,Nice to have,Traditional Workstation,2 - 10 hours,Master's degree,No,Bachelor's degree,A humanities discipline,I don't write code to analyze data,Business Analyst,"Online courses (coursera, udemy, edx, etc.)",10.0,90.0,0.0,0.0,0.0,0.0,,,A bachelor's degree,CRM/Marketing,,0,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important
99,99,99,Male,United States,22.0,Employed full-time,No,Yes,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,R,Deep learning,Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"College/University,Kaggle,Official documentation,Stack Overflow Q&A",,,3-5 years,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Nice to have,Traditional Workstation,2 - 10 hours,Github Portfolio,No,Bachelor's degree,Computer Science,3 to 5 years,"Researcher,Software Developer/Software Engineer",Other,20.0,0.0,40.0,40.0,0.0,0.0,"Adversarial Learning,Computer Vision","Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs",A bachelor's degree,Technology,Other,0,Somewhat important,Very Important,Very Important,Not important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Not important,Somewhat important,Not important,Somewhat important,Not important,Somewhat important
100,100,100,Male,United States,38.0,Employed full-time,No,Yes,Scientist/Researcher,Fine,Employed by government,TensorFlow,Social Network Analysis,Python,Google Search,"Kaggle,Online courses,Personal Projects,Textbook,YouTube Videos",Very useful,"Becoming a Data Scientist Podcast,FlowingData Blog,Siraj Raval YouTube Channel",1-2 years,Necessary,Unnecessary,Necessary,Unnecessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Basic laptop (Macbook),0 - 1 hour,Online Courses and Certifications,Sort of (Explain more),Doctoral degree,A humanities discipline,3 to 5 years,,"Online courses (coursera, udemy, edx, etc.)",0.0,80.0,10.0,10.0,0.0,0.0,"Supervised Machine Learning (Tabular Data),Unsupervised Learning","Decision Trees - Random Forests,Logistic Regression",A doctoral degree,Military/Security,Searching general-purpose job board,1-2,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Not important,Not important,Very Important,Very Important,Very Important,Not important,Not important,Not important
101,101,101,Male,United States,30.0,Employed full-time,No,Yes,Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Python,Neural Nets,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),GitHub,Google Search,I collect my own data (e.g. web-scraping)","Kaggle,Online courses",Somewhat useful,,1-2 years,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,"Basic laptop (Macbook),GPU accelerated Workstation",2 - 10 hours,Kaggle Competitions,No,Master's degree,Engineering (non-computer focused),Less than a year,Engineer,"Online courses (coursera, udemy, edx, etc.)",20.0,80.0,0.0,0.0,0.0,0.0,,,High school,Other,,0,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important
102,102,102,Male,United States,32.0,Employed full-time,No,Yes,Programmer,Fine,Employed by a company that doesn't perform advanced analytics,TensorFlow,Deep learning,Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Conferences,Kaggle,Newsletters,Online courses,Personal Projects",Very useful,FlowingData Blog,1-2 years,Nice to have,Nice to have,Necessary,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Basic laptop (Macbook),0 - 1 hour,Github Portfolio,No,Bachelor's degree,Other,I don't write code to analyze data,Other,"Online courses (coursera, udemy, edx, etc.)",20.0,60.0,0.0,20.0,0.0,0.0,Time Series,Logistic Regression,A bachelor's degree,Insurance,,0,,,,,,,,,,,,,,,,
103,103,103,Male,United States,38.0,Employed full-time,No,Yes,Business Analyst,Poorly,Employed by government,Python,Bayesian Methods,Python,I collect my own data (e.g. web-scraping),"Newsletters,Online courses,Stack Overflow Q&A,YouTube Videos",Somewhat useful,"Data Elixir Newsletter,FastML Blog,KDnuggets Blog",3-5 years,Nice to have,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Necessary,Unnecessary,Unnecessary,Nice to have,Traditional Workstation,2 - 10 hours,Experience from work in a company related to ML,Sort of (Explain more),Bachelor's degree,Management information systems,3 to 5 years,Programmer,"Online courses (coursera, udemy, edx, etc.)",20.0,80.0,0.0,0.0,0.0,0.0,,"Bayesian Techniques,Decision Trees - Random Forests","Some college/university study, no bachelor's degree",Government,Tech-specific job board,1-2,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Not important,Somewhat important,Not important,Not important,Not important,Not important,Not important,Not important,Not important
104,104,104,Female,United States,41.0,Employed full-time,No,Yes,Other,Fine,Employed by company that makes advanced analytic software,Microsoft R Server (Formerly Revolution Analytics),Deep learning,SQL,Government website,"Company internal community,Online courses",Somewhat useful,,< 1 year,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Necessary,Nice to have,Unnecessary,Necessary,"Laptop + Cloud service (AWS, Azure, GCE ...)",0 - 1 hour,Experience from work in a company related to ML,Sort of (Explain more),Bachelor's degree,Mathematics or statistics,6 to 10 years,"Engineer,Programmer,Software Developer/Software Engineer",Self-taught,80.0,20.0,0.0,0.0,0.0,0.0,,,A master's degree,Technology,,0,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Not important,Somewhat important,Very Important,Somewhat important,Very Important,Not important,Not important
105,105,105,Male,United States,61.0,Employed full-time,No,Yes,Other,Fine,Employed by professional services/consulting firm,Amazon Web services,Neural Nets,Python,University/Non-profit research group websites,"College/University,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Textbook",Somewhat useful,Other (Separate different answers with semicolon),3-5 years,Necessary,Necessary,Necessary,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Necessary,"Laptop or Workstation and local IT supported servers,Traditional Workstation",2 - 10 hours,Master's degree,Sort of (Explain more),Master's degree,Management information systems,I don't write code to analyze data,"Computer Scientist,Data Scientist,DBA/Database Engineer,Engineer,Programmer,Software Developer/Software Engineer",University courses,5.0,0.0,5.0,90.0,0.0,0.0,"Natural Language Processing,Outlier detection (e.g. Fraud detection),Recommendation Engines","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Logistic Regression","Some college/university study, no bachelor's degree",Military/Security,Company's Web site/job listing page,1-2,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Not important
106,106,106,Male,United States,34.0,Employed full-time,No,Yes,Scientist/Researcher,Fine,Employed by a company that doesn't perform advanced analytics,TensorFlow,Neural Nets,Python,University/Non-profit research group websites,"Blogs,College/University,Kaggle,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,"R Bloggers Blog Aggregator,Other (Separate different answers with semicolon)",3-5 years,Nice to have,Nice to have,Necessary,Unnecessary,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Nice to have,Gaming Laptop (Laptop + CUDA capable GPU),2 - 10 hours,Experience from work in a company related to ML,No,Bachelor's degree,Other,1 to 2 years,Other,"Online courses (coursera, udemy, edx, etc.)",20.0,20.0,0.0,50.0,10.0,0.0,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data)","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Hidden Markov Models HMMs,Logistic Regression,Support Vector Machines (SVMs)",A bachelor's degree,Other,Meeting with recruiters who've contacted you directly,0,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Not important,Not important,Not important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Somewhat important
107,107,107,Female,United States,30.0,Employed full-time,No,Yes,Researcher,Poorly,Employed by college or university,R,Neural Nets,Other,I collect my own data (e.g. web-scraping),"College/University,Friends network,Kaggle,Online courses,Other",Very useful,,< 1 year,Necessary,Nice to have,Necessary,Necessary,Necessary,Necessary,Necessary,,Nice to have,Necessary,Traditional Workstation,0 - 1 hour,Experience from work in a company related to ML,Sort of (Explain more),Bachelor's degree,A social science,Less than a year,,"Online courses (coursera, udemy, edx, etc.)",0.0,80.0,10.0,0.0,0.0,10.0,Other (please specify; separate by semi-colon),,A doctoral degree,Academic,,0,,,,,,,,,,,,,,,,
108,108,108,Female,United States,24.0,Employed full-time,No,Yes,Business Analyst,Fine,Employed by a company that performs advanced analytics,TensorFlow,Deep learning,Python,Google Search,"Arxiv,College/University,Conferences,Kaggle,Newsletters,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,"FlowingData Blog,KDnuggets Blog,O'Reilly Data Newsletter",1-2 years,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Necessary,Unnecessary,Unnecessary,Necessary,Basic laptop (Macbook),2 - 10 hours,Experience from work in a company related to ML,No,Bachelor's degree,,1 to 2 years,Business Analyst,"Online courses (coursera, udemy, edx, etc.)",15.0,75.0,10.0,0.0,0.0,0.0,Natural Language Processing,"Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Logistic Regression",A doctoral degree,Technology,Tech-specific job board,0,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Not important,Very Important,Very Important,Somewhat important,Not important
109,109,109,Female,United States,26.0,Employed full-time,No,Yes,Other,Perfectly,Employed by college or university,SQL,Text Mining,R,Government website,"College/University,Online courses,Personal Projects,Textbook,YouTube Videos",Very useful,,1-2 years,Nice to have,Unnecessary,Necessary,Nice to have,Necessary,Necessary,Necessary,Unnecessary,Necessary,Necessary,Basic laptop (Macbook),2 - 10 hours,Github Portfolio,Sort of (Explain more),Bachelor's degree,Psychology,I don't write code to analyze data,I haven't started working yet,"Online courses (coursera, udemy, edx, etc.)",10.0,80.0,0.0,10.0,0.0,0.0,,,A bachelor's degree,Academic,,0,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Not important,Somewhat important,Very Important,Not important,Not important,Very Important,Very Important,Somewhat important,Not important,Not important,Somewhat important
110,110,110,Female,United States,27.0,Employed part-time,No,Yes,Other,Fine,Employed by college or university,SAP BusinessObjects Predictive Analytics,Deep learning,C/C++/C#,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Kaggle,Online courses",Very useful,"Becoming a Data Scientist Podcast,Data Machina Newsletter,Talking Machines Podcast",1-2 years,Necessary,Nice to have,Nice to have,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Necessary,"Laptop + Cloud service (AWS, Azure, GCE ...)",0 - 1 hour,Kaggle Competitions,Yes,Master's degree,Computer Science,Less than a year,"Data Analyst,Programmer",Work,40.0,0.0,50.0,0.0,10.0,0.0,"Natural Language Processing,Supervised Machine Learning (Tabular Data)","Decision Trees - Random Forests,Hidden Markov Models HMMs,Logistic Regression,Markov Logic Networks,Support Vector Machines (SVMs)",A bachelor's degree,Academic,Company's Web site/job listing page,0,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important
111,111,111,Male,United States,37.0,Employed full-time,No,Yes,Other,Fine,"Employed by a company that performs advanced analytics,Employed by a company that doesn't perform advanced analytics",Other,Deep learning,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Google Search","Blogs,Kaggle,Non-Kaggle online communities,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Trade book,YouTube Videos",Very useful,"Becoming a Data Scientist Podcast,Data Machina Newsletter,Partially Derivative Podcast",1-2 years,Necessary,Unnecessary,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Unnecessary,Nice to have,Necessary,"Basic laptop (Macbook),GPU accelerated Workstation",2 - 10 hours,Github Portfolio,No,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,Other,"Online courses (coursera, udemy, edx, etc.)",50.0,35.0,0.0,0.0,15.0,0.0,Supervised Machine Learning (Tabular Data),"Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Neural Networks - CNNs",A bachelor's degree,Manufacturing,Tech-specific job board,1-2,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Not important,Not important,Not important,Somewhat important,Very Important,Somewhat important,Somewhat important,Not important,Very Important,Not important
112,112,112,Male,United States,41.0,Employed full-time,No,Yes,Other,Perfectly,Employed by professional services/consulting firm,RapidMiner (commercial version),Social Network Analysis,Matlab,University/Non-profit research group websites,College/University,,"Becoming a Data Scientist Podcast,R Bloggers Blog Aggregator,Statistical Modeling, Causal Inference, and Social Science Blog (Andrew Gelman)",3-5 years,Nice to have,Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,Nice to have,Nice to have,Necessary,"GPU accelerated Workstation,Workstation + Cloud service,Other",2 - 10 hours,Master's degree,No,Master's degree,Management information systems,1 to 2 years,"Computer Scientist,Engineer",University courses,10.0,10.0,0.0,80.0,0.0,0.0,"Natural Language Processing,Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Random Forests,Hidden Markov Models HMMs,Logistic Regression,Markov Logic Networks,Neural Networks - RNNs",High school,Other,Career fair or on-campus recruiting event,1-2,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Not important
113,113,113,"Non-binary, genderqueer, or gender non-conforming",United States,28.0,Employed full-time,No,Yes,Software Developer/Software Engineer,Perfectly,Employed by a company that doesn't perform advanced analytics,TensorFlow,Neural Nets,Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Blogs,Kaggle,Online courses,Textbook,YouTube Videos,Other",Very useful,Other (Separate different answers with semicolon),< 1 year,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Unnecessary,Nice to have,"Basic laptop (Macbook),Laptop + Cloud service (AWS, Azure, GCE ...)",11 - 39 hours,Github Portfolio,No,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,Software Developer/Software Engineer,"Online courses (coursera, udemy, edx, etc.)",30.0,70.0,0.0,0.0,0.0,0.0,,,High school,Technology,,0,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Not important
114,114,114,Male,United States,45.0,"Independent contractor, freelancer, or self-employed",No,Yes,Software Developer/Software Engineer,Fine,Self-employed,TensorFlow,Deep learning,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),University/Non-profit research group websites","Arxiv,Blogs,Kaggle,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,YouTube Videos",Very useful,"Jack's Import AI Newsletter,Linear Digressions Podcast,Talking Machines Podcast",3-5 years,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,"Basic laptop (Macbook),Traditional Workstation",2 - 10 hours,Github Portfolio,No,Bachelor's degree,Computer Science,1 to 2 years,"Business Analyst,Programmer,Software Developer/Software Engineer","Online courses (coursera, udemy, edx, etc.)",20.0,80.0,0.0,0.0,0.0,0.0,,,A bachelor's degree,Hospitality/Entertainment/Sports,Tech-specific job board,1-2,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Not important,Somewhat important,Not important,Not important,Not important,Not important,Somewhat important,Not important,Somewhat important,Not important,Not important
115,115,115,Male,United States,48.0,Employed full-time,No,Yes,Business Analyst,Fine,Employed by a company that doesn't perform advanced analytics,Python,Text Mining,R,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),GitHub,Google Search,Government website","Blogs,Conferences,Newsletters,Online courses,Textbook",Very useful,"KDnuggets Blog,O'Reilly Data Newsletter",1-2 years,Nice to have,Nice to have,Necessary,Necessary,Nice to have,Necessary,Necessary,Unnecessary,Unnecessary,Necessary,Traditional Workstation,2 - 10 hours,Master's degree,No,Professional degree,,1 to 2 years,"Business Analyst,Other","Online courses (coursera, udemy, edx, etc.)",10.0,90.0,0.0,0.0,0.0,0.0,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Time Series","Decision Trees - Random Forests,Logistic Regression,Support Vector Machines (SVMs)","Some college/university study, no bachelor's degree",Insurance,Meeting with recruiters who've contacted you directly,1-2,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,Somewhat important,Not important
116,116,116,Male,United States,41.0,Employed full-time,No,Yes,Data Analyst,Poorly,Employed by a company that doesn't perform advanced analytics,Amazon Machine Learning,Anomaly Detection,R,University/Non-profit research group websites,"College/University,Personal Projects,Textbook,YouTube Videos",,"Becoming a Data Scientist Podcast,Data Stories Podcast,The Data Skeptic Podcast",1-2 years,Nice to have,Nice to have,Unnecessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Nice to have,Basic laptop (Macbook),2 - 10 hours,Experience from work in a company related to ML,Yes,Bachelor's degree,A humanities discipline,1 to 2 years,I haven't started working yet,University courses,10.0,10.0,0.0,75.0,5.0,0.0,"Machine Translation,Speech Recognition,Survival Analysis","Bayesian Techniques,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Neural Networks - RNNs,Support Vector Machines (SVMs)",A bachelor's degree,Hospitality/Entertainment/Sports,Searching general-purpose job board,20+,Very Important,Somewhat important,Not important,Very Important,Somewhat important,Not important,Somewhat important,Not important,Somewhat important,Not important,Not important,Not important,Not important,Not important,Not important,Not important
117,117,117,Female,United States,53.0,Employed full-time,No,Yes,Other,Fine,Employed by professional services/consulting firm,Python,Regression,SQL,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Newsletters,Online courses,YouTube Videos",Very useful,"FlowingData Blog,KDnuggets Blog",< 1 year,Necessary,Nice to have,Necessary,Necessary,Necessary,Necessary,Necessary,Nice to have,Nice to have,Necessary,Basic laptop (Macbook),2 - 10 hours,Experience from work in a company related to ML,No,Master's degree,A humanities discipline,I don't write code to analyze data,Other,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0,,,High school,Internet-based,Searching general-purpose job board,1-2,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Not important
118,118,118,Male,United States,46.0,Employed part-time,No,Yes,Scientist/Researcher,Perfectly,Employed by college or university,Google Cloud Compute,Deep learning,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),University/Non-profit research group websites","Blogs,Kaggle,Newsletters,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,"Data Elixir Newsletter,R Bloggers Blog Aggregator,Other (Separate different answers with semicolon)",1-2 years,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Traditional Workstation,11 - 39 hours,Github Portfolio,Sort of (Explain more),Doctoral degree,Biology,1 to 2 years,Researcher,"Online courses (coursera, udemy, edx, etc.)",10.0,90.0,0.0,0.0,0.0,0.0,"Supervised Machine Learning (Tabular Data),Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression",A master's degree,Academic,Other,0,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Not important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Not important,Not important
119,119,119,Male,United States,31.0,Employed full-time,No,Yes,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Julia,Genetic & Evolutionary Algorithms,Python,Government website,"Online courses,Stack Overflow Q&A",Very useful,,1-2 years,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Basic laptop (Macbook),0 - 1 hour,Kaggle Competitions,Yes,Master's degree,A humanities discipline,1 to 2 years,,"Online courses (coursera, udemy, edx, etc.)",10.0,90.0,0.0,0.0,0.0,0.0,,"Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests",A master's degree,Pharmaceutical,Searching general-purpose job board,0,Very Important,Very Important,Very Important,Not important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Somewhat important,Somewhat important,Not important
120,120,120,Male,United States,55.0,Employed full-time,No,Yes,Other,Fine,Employed by a company that performs advanced analytics,TensorFlow,Bayesian Methods,R,"GitHub,Google Search,University/Non-profit research group websites",Kaggle,,"Becoming a Data Scientist Podcast,Data Machina Newsletter,Siraj Raval YouTube Channel",1-2 years,Necessary,Nice to have,Nice to have,Nice to have,Necessary,Necessary,,Nice to have,Nice to have,Nice to have,Basic laptop (Macbook),2 - 10 hours,Online Courses and Certifications,Yes,Master's degree,Electrical Engineering,1 to 2 years,"Computer Scientist,Programmer,Software Developer/Software Engineer","Online courses (coursera, udemy, edx, etc.)",10.0,80.0,5.0,0.0,5.0,0.0,"Supervised Machine Learning (Tabular Data),Unsupervised Learning","Decision Trees - Random Forests,Logistic Regression",A bachelor's degree,Technology,Other,1-2,Not important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Somewhat important,Not important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Somewhat important,Very Important
121,121,121,Male,United States,24.0,Employed full-time,No,Yes,Software Developer/Software Engineer,,Employed by college or university,TensorFlow,Deep learning,Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Arxiv,Blogs,Kaggle,Newsletters,YouTube Videos",,KDnuggets Blog,1-2 years,Necessary,Nice to have,Nice to have,Unnecessary,Necessary,Nice to have,Necessary,Unnecessary,Nice to have,Necessary,Basic laptop (Macbook),2 - 10 hours,Online Courses and Certifications,No,Bachelor's degree,Electrical Engineering,1 to 2 years,"Programmer,Software Developer/Software Engineer","Online courses (coursera, udemy, edx, etc.)",50.0,40.0,0.0,10.0,0.0,0.0,Supervised Machine Learning (Tabular Data),"Decision Trees - Random Forests,Logistic Regression,Neural Networks - CNNs",,Academic,,,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,,Very Important,Very Important,,Very Important,Not important,Somewhat important,,Somewhat important,Somewhat important
122,122,122,Male,United States,34.0,Employed full-time,No,Yes,Business Analyst,Poorly,Employed by a company that doesn't perform advanced analytics,R,Bayesian Methods,R,GitHub,"College/University,Kaggle,YouTube Videos",,,3-5 years,,Necessary,Necessary,,,Necessary,Nice to have,Nice to have,,Nice to have,Traditional Workstation,2 - 10 hours,PhD,No,Doctoral degree,Engineering (non-computer focused),3 to 5 years,"Business Analyst,Researcher",University courses,20.0,0.0,0.0,80.0,0.0,0.0,Time Series,"Evolutionary Approaches,Hidden Markov Models HMMs","Some college/university study, no bachelor's degree",Mix of fields,"Asking friends, family members, or former colleagues for leads",1-2,Very Important,Very Important,Somewhat important,Not important,Somewhat important,Not important,Not important,Not important,Not important,Not important,Somewhat important,Not important,Not important,Not important,Not important,Not important
123,123,123,Male,United States,39.0,Employed part-time,No,Yes,Other,Perfectly,Self-employed,TensorFlow,Deep learning,C/C++/C#,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Government website,I collect my own data (e.g. web-scraping)","Blogs,Friends network,Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,YouTube Videos",Very useful,"Becoming a Data Scientist Podcast,O'Reilly Data Newsletter",< 1 year,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,"Basic laptop (Macbook),Traditional Workstation",2 - 10 hours,Experience from work in a company related to ML,No,Master's degree,Engineering (non-computer focused),1 to 2 years,Other,"Online courses (coursera, udemy, edx, etc.)",5.0,80.0,5.0,5.0,5.0,0.0,Supervised Machine Learning (Tabular Data),"Decision Trees - Gradient Boosted Machines,Ensemble Methods,Gradient Boosting,Logistic Regression,Other (please specify; separate by semi-colon)","Some college/university study, no bachelor's degree",Other,Other,0,Very Important,Somewhat important,Somewhat important,Very Important,Not important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,Not important,Not important
